"address","reward_type","claimablerewardstotal","maturatedrewardstotal","maturitydate","targetdatetime","is_latest","weekly_regular_distribution_total","per_week_distribution_amount","num_weeks","distribution_date","claimedrewardssincefinaldispensation","firstweekdistribution_amount"
sif1malgpuj3482uwh26uyyl20rq5wq95a29vsgqku,lm,20503.149877059420000000,20503.149877059420000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,20503.149877059420000000
sif15a0pdt54qnq49cey6yhhtvlfu7zz29rqxepl4p,lm,20094.232536272313000000,20094.232536272313000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,20094.232536272313000000
sif1tsmdvsd3d8fclvvl4kq0ket6npkpq5dp7y33ee,lm,19133.938081734820000000,19133.938081734820000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,19133.938081734820000000
sif1jt5hg28cucu539r3jn00zny3yduyghw4f77r60,lm,18152.957442643987000000,18152.957442643987000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,18152.957442643987000000
sif1zh5mrc9rvdlvta6a5mdaajh0ywpp5klz692lw0,lm,18110.583546928538000000,18110.583546928538000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,18110.583546928538000000
sif1dyjrvsr6tqzhhmesmn7n7080aw3fahzq5rwlrk,lm,18102.348507372964000000,18102.348507372964000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,18102.348507372964000000
sif1xjlavs6tepgv26qpqphu47w03nxze3fue9a370,lm,17668.694173281077000000,17668.694173281077000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,17668.694173281077000000
sif1l9jgeakw8qe44sjwhwe4nnds4954pxshuzjpq7,lm,17425.184151768604000000,17956.421590612600000000,2021-08-19 21:28:43,2021-08-05 01:59:59,true,531.237438843996000000,177.079146281332000000,3,"2021-08-15",0.000000000000000000,17602.263298049936000000
sif1dajprj8cylnlmu3p0q2778hsvwfl4ahx65lusc,lm,17330.560807256075000000,17330.560807256075000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,17330.560807256075000000
sif1hnh5tgyucnsa24gem5qq4a6cehgn4js3yx3fuh,lm,16900.652690443647000000,16900.652690443647000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,16900.652690443647000000
sif1x3d5326u689q2efd086nkr243s7q2m2tsxns6l,lm,16225.620449963078000000,16225.620449963078000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,16225.620449963078000000
sif1m40cnsvzpsu9eggp3aedjnrxhh729zw5z43tt9,lm,16127.605704200902000000,16127.605704200902000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,16127.605704200902000000
sif1nwxetux5hn03lnye72jqz2zaun3qqqcxwuwh78,lm,15867.515316100928000000,15867.515316100928000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,15867.515316100928000000
sif166k3ygulfv4anyw4jzxxgqfyjymdvf0zjfg642,lm,15779.762617173126000000,15779.762617173126000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,15779.762617173126000000
sif1w98etq5dvur7945phdzf49eu7vythxkmnne2wh,lm,15422.169888160332000000,15422.169888160332000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,15422.169888160332000000
sif1kkxgg2lhz753wgrrgl0ehzp5lxfam9qsmpvnw3,lm,15173.595544530520000000,15173.595544530520000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,15173.595544530520000000
sif1p8d72snt900alj270h2fxzlltdkwn6md0gumg0,lm,14980.530133825890000000,14980.530133825890000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,14980.530133825890000000
sif1685ud2uzvuvl6katpr9e8lgfps7ymf58gt3mkv,lm,14865.292163683076000000,14865.292163683076000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,14865.292163683076000000
sif1putrz453t4gl0pwfcrx3z27c6jhgg6kdsmezn4,lm,14842.490258340124000000,16649.025099909904000000,2021-08-22 19:28:43,2021-08-05 01:59:59,true,1806.534841569780000000,602.178280523260000000,3,"2021-08-15",0.000000000000000000,15444.668538863384000000
sif19sy933j5aj8jth9kgqhz2q05hs8gll9efvccn3,lm,14772.450165693812000000,14772.450165693812000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,14772.450165693812000000
sif17du53vjwt0tvmuhz3m3myfrwgmxzw6d5rv3ull,lm,14497.354013818775000000,14818.945717762977000000,2021-08-08 22:08:43,2021-08-05 01:59:59,true,321.591703944202000000,107.197234648067333333,3,"2021-08-15",0.000000000000000000,14604.551248466842333333
sif168sxtjrnr552uy0y2rzfq30fh3k9zxnfyrm9pe,lm,14391.847323385346000000,14842.800462434707000000,2021-08-10 07:28:43,2021-08-05 01:59:59,true,450.953139049361000000,150.317713016453666667,3,"2021-08-15",0.000000000000000000,14542.165036401799666667
sif1jxfjp0xhwkq08kxg7nrnfw6ququ5n3f3f72um0,lm,14341.838027276663000000,14341.838027276663000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,14341.838027276663000000
sif1zdjeq5hh84sv94a0p6rnkveku7n8gr38xrhazg,lm,13877.511392894712000000,13877.511392894712000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,13877.511392894712000000
sif1fx63jd82283wm7jlt8a6ecwyzpjnm3uj2m3jgf,lm,11914.519172293796000000,11914.519172293796000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,11914.519172293796000000
sif185w93543qlssfgp9yvvffsya5yl6evlrmzzpw3,lm,11832.654541534852000000,12540.218980540814000000,2021-08-14 11:28:43,2021-08-05 01:59:59,true,707.564439005962000000,235.854813001987333333,3,"2021-08-15",0.000000000000000000,12068.509354536839333333
sif1wej5vcz37tkcmgcrdw8jmyh9u9ct8n0ag85gk3,lm,11661.568502974530000000,11661.568502974530000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,11661.568502974530000000
sif1tytdf0g796r74ngtap0p5gtf0wmxef6j9lt9sj,lm,11271.867458482330000000,11271.867458482330000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,11271.867458482330000000
sif1l9lfvvrlxher7ew2hjn35hncmj3pm3nm8dyxj9,lm,11195.851956312601000000,11195.851956312601000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,11195.851956312601000000
sif1us8sxkl2ap4j9vd7chfnq4jafn4f7a3nucj0x7,lm,10890.187908996259000000,10890.187908996259000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,10890.187908996259000000
sif1f7lnqd0yq0pfctlc9e8rrp8f9yl5uxa8q7f87k,lm,10732.418479374540000000,10732.418479374540000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,10732.418479374540000000
sif15u82alyzc98wz2f3tsxj9skmzhjn4v45lj6k4r,lm,10179.373676477184000000,10179.373676477184000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,10179.373676477184000000
sif1ps8al8p8lde887dcj9zm4lhc85awfgre00a2gx,lm,10104.771324750602000000,10104.771324750602000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,10104.771324750602000000
sif1pc5vdusq4ry5c5ad0yxpsa6hq8jevaj25nnt7z,lm,9772.013749625590000000,9772.013749625590000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,9772.013749625590000000
sif16u9du247mzmm80fe46sl25usjkx0wdx03myu59,lm,9488.645883142382000000,9488.645883142382000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,9488.645883142382000000
sif1zec5glry6tj3zaqjxx827gzp8am5txr5rx9t34,lm,9362.807601440750000000,9928.036984874600000000,2021-08-18 08:48:43,2021-08-05 01:59:59,true,565.229383433850000000,188.409794477950000000,3,"2021-08-15",0.000000000000000000,9551.217395918700000000
sif1xj8uu7r703dajr8vxu8u8da5lhwqs6cjfkx4su,lm,9174.494220917015000000,9174.494220917015000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,9174.494220917015000000
sif1ylce4ynls2rcc8wmw73hjs5aupvq2mxg8xcapw,lm,9144.148663768410000000,9144.148663768410000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,9144.148663768410000000
sif1fzmgr6gjkqdfmmym9cm43kt3nm0z9kw2nnxwl6,lm,9121.581004111971000000,9121.581004111971000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,9121.581004111971000000
sif1t9xkfkgl4jcwtvdlnqvwc69kh9utrlez4ze4ru,lm,8590.943581358644000000,8590.943581358644000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,8590.943581358644000000
sif1am09rf5wzk82zmv2me4ky3v37wrjn6cu2ruea2,lm,8547.354060398617000000,8547.354060398617000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,8547.354060398617000000
sif10vqfcfdwg006v2kglyzg9n9ntwkvvwst29lp6l,lm,8523.467704107316000000,8523.467704107316000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,8523.467704107316000000
sif1u47htj2n2yeccthtq6ks0p5p8fjug5p4wm9ram,lm,8509.183889309003000000,8509.183889309003000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,8509.183889309003000000
sif1uy5v22mrmlcltvpvpxs58m28e4qm6qkn7cc637,lm,8212.223494198784000000,8212.223494198784000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,8212.223494198784000000
sif1sj83j5kzpythtc0w3f5qp7zdkgna23dc6s3zlq,lm,8190.406448054795000000,8190.406448054795000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,8190.406448054795000000
sif10ppztcrgt9eka7vvl4485dn74ks923j88p9nvv,lm,8070.571977883029000000,8070.571977883029000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,8070.571977883029000000
sif16t6j0emhwdhqmtl8htcqt0e609ax962gvhyshy,lm,8065.488228524267000000,8065.488228524267000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,8065.488228524267000000
sif1tnnrk252p8zxruykqtpm5sta7rsrpchq2uajqw,lm,8004.101783046516000000,9389.740584592058000000,2021-08-29 01:28:43,2021-08-05 01:59:59,true,1385.638801545542000000,461.879600515180666667,3,"2021-08-15",0.000000000000000000,8465.981383561696666667
sif1vdlce34ehl537tz8urh0vtmqlt7vz5337837vq,lm,7837.137346224394000000,7837.137346224394000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,7837.137346224394000000
sif15dyulvx9ge8wxrjnzr5yjeehpkc3ksvche3z0x,lm,7821.997182603947000000,7821.997182603947000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,7821.997182603947000000
sif165vs3qryaf7qhm73n5lgg7jerf2jz4k4zdur3q,lm,7804.672303535377000000,7804.672303535377000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,7804.672303535377000000
sif1x9lptxjsk94e5dx2gsrq3uu4lzg20q43dzdslz,lm,7750.212590144289000000,7750.212590144289000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,7750.212590144289000000
sif18unq7teevpajctukhjnvhjatvmelp5ctm0n8hk,lm,7737.456445080917000000,7737.456445080917000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,7737.456445080917000000
sif1yqp3z7ejccytu2v6f0t8efpj448e0cjqp208gt,lm,7652.752624631617000000,7652.752624631617000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,7652.752624631617000000
sif1am9fpmzpk2d697ldyzq2nvz68a2ugsvwadtly2,lm,7515.806062460697000000,7515.806062460697000000,2021-08-05 04:08:43,2021-08-05 01:59:59,true,0.000000000000000000,0.000000000000000000,3,"2021-08-15",0.000000000000000000,7515.806062460697000000
